sim,question,answer,score
L,quant.3,Same,3
L,quant.3,Same level of absorbance,3
L,quant.3,smaller,0
L,quant.3,smaller than 0.2,0
L,quant.3,Stay the same,3
L,quant.3,stays the same ,3
L,quant.3,the same,3
L,quant.3,the same (around 0.2),3
L,quant.3,the same as before,3
L,quant.3,the value will not change,3
L,quant.3,The value will stay around the same level.,3
L,quant.3,unable to tell (no change?),3
C,quant.0.1,.25 pC,0
C,quant.0.1,.5pC,3
C,quant.0.1,0.1,0
C,quant.0.1,0.25,0
C,quant.0.1,0.33,0
C,quant.0.1,0.38,0
C,quant.0.1,0.5,3
C,quant.0.1,0.5 pC,3
C,quant.0.1,0.5pC,3
C,quant.0.1,0.66,0
C,quant.0.1,1,0
C,quant.0.1,1/2 pC,3
C,quant.0.1,1000,0
C,quant.0.1,1pC,0
C,quant.0.1,2,0
C,quant.0.1,2 pC,0
C,quant.0.1,43102,3
C,quant.0.1,2pC,0
C,quant.0.1,3,0
C,quant.0.1,400,0
C,quant.0.1,4pc,0
C,quant.0.1,5,0
C,quant.0.1,Decrease,1
C,quant.0.1,Decrease in plate charge,1
C,quant.0.1,increase 2 pc,0
C,quant.0.1,less,1
C,quant.0.1,less than 1pc,1
C,quant.0.1,Less than 1pC,1
C,quant.0.1,less than 1pC,1
C,quant.0.1,loweor,1
C,quant.0.1,"Lower, assuming the charge may be halved as a result",3
C,quant.0.1,smaller,1
C,quant.0.1,the charge decreases,1
C,quant.0.1,the charge would decrease,1
C,quant.0.1,value will be smaller.,1
C,quant.0.1,Will be smaller,1
C,quant.1.1,.5pC,3
C,quant.1.1,.67 pC,0
C,quant.1.1,0.25,0
C,quant.1.1,0.25pC,0
C,quant.1.1,0.3,0
C,quant.1.1,0.3pC,0
C,quant.1.1,0.4,0
C,quant.1.1,0.4pC,0
C,quant.1.1,0.5,3
C,quant.1.1,0.5 pC,3
C,quant.1.1,0.5pC,3
C,quant.1.1,0.6,0
C,quant.1.1,0.6pc,0
C,quant.1.1,0.8,0
C,quant.1.1,1,0
C,quant.1.1,1/2 pC,3
C,quant.1.1,100,0
C,quant.1.1,1600,0
C,quant.1.1,2,0
C,quant.1.1,43102,3
C,quant.1.1,2pC,0
C,quant.1.1,2pc,0
C,quant.1.1,4,0
C,quant.1.1,7,0
C,quant.1.1,Decrease,1
C,quant.1.1,Decrease in plate charge,1
C,quant.1.1,decrease its further apart 0.5 pC,3
C,quant.1.1,less,1
C,quant.1.1,less than 1 pc,1
C,quant.1.1,Less than 1pC,1
C,quant.1.1,less than 1pc,1
C,quant.1.1,less than 1pC,1
C,quant.1.1,lower,1
C,quant.1.1,"Lower, assuming the charge may be halved as a result",3
C,quant.1.1,more,0
C,quant.1.1,smaller,1
C,quant.1.1,smaller than 1,1
C,quant.1.1,the charge decreases,1
C,quant.1.1,the charge would decrease,1
C,quant.1.1,Value will be smaller.,1
C,quant.1.1,Will be smaller,1
C,quant.2.1,.25pC,0
C,quant.2.1,0.1,0
C,quant.2.1,0.13,0
C,quant.2.1,0.2,0
C,quant.2.1,0.25,0
C,quant.2.1,0.5,0
C,quant.2.1,0.6,0
C,quant.2.1,0.67,0
C,quant.2.1,0.75,0
C,quant.2.1,0.8,0
C,quant.2.1,0.8pC,0
C,quant.2.1,0.9,0
C,quant.2.1,1,3
C,quant.2.1,1 pC,3
C,quant.2.1,1.1,0
C,quant.2.1,1.25,0
C,quant.2.1,1.6,0
C,quant.2.1,1/4 pC,0
C,quant.2.1,1/4pc,0
C,quant.2.1,10,0
C,quant.2.1,1000,0
C,quant.2.1,1pC,3
C,quant.2.1,1pc,3
C,quant.2.1,2,0
C,quant.2.1,2.5,0
C,quant.2.1,200,0
C,quant.2.1,2pC,0
C,quant.2.1,4,0
C,quant.2.1,4.5pC,0
C,quant.2.1,4pC,0
C,quant.2.1,8,0
C,quant.2.1,43108,0
C,quant.2.1,around the same,2
C,quant.2.1,higher,0
C,quant.2.1,increased since it is closer and but decrease since area decreased. So it should stay the same,3
C,quant.2.1,larger than 0.5,0
C,quant.2.1,less than 1pc,0
C,quant.2.1,more,0
C,quant.2.1,same?,3
C,quant.2.1,smaller,0
C,quant.2.1,Stay the same,3
C,quant.2.1,stays the same,3
C,quant.2.1,Stays the same (ratio is the same),3
C,quant.2.1,the charge does not change,3
C,quant.2.1,The charge may stay the same; unsure whether the changes will cancel each other out as one factor increases and the other decreases the charge,2
C,quant.2.1,the charge would stay the same,3
C,quant.2.1,Value will be around the same.,2
C,quant.2.1,Will be greater,0
C,quant.3.1,(0.5x0.25)pC,0
C,quant.3.1,(1/8),0
C,quant.3.1,.25 pC,3
C,quant.3.1,.25pC,3
C,quant.3.1,.5pC,0
C,quant.3.1,0,0
C,quant.3.1,0.05,0
C,quant.3.1,0.1,0
C,quant.3.1,0.12,0
C,quant.3.1,0.125,0
C,quant.3.1,0.2,0
C,quant.3.1,0.25,3
C,quant.3.1,0.25pC,3
C,quant.3.1,0.2pC,0
C,quant.3.1,0.3,0
C,quant.3.1,0.34 pC,0
C,quant.3.1,0.3pC,0
C,quant.3.1,0.5,0
C,quant.3.1,0.6,0
C,quant.3.1,0.7,0
C,quant.3.1,0.85,0
C,quant.3.1,1,0
C,quant.3.1,1.2,0
C,quant.3.1,1.5,0
C,quant.3.1,1/4 pC,3
C,quant.3.1,1/8pc,0
C,quant.3.1,10000,0
C,quant.3.1,1pC,0
C,quant.3.1,2,0
C,quant.3.1,2.5,0
C,quant.3.1,4,0
C,quant.3.1,4 pC,0
C,quant.3.1,43104,3
C,quant.3.1,4pC,0
C,quant.3.1,43108,0
C,quant.3.1,800,0
C,quant.3.1,9,0
C,quant.3.1,Decrease,1
C,quant.3.1,"decrease by a lot, area losing decreases so does separation further apart. might become 0",1
C,quant.3.1,Decrease in plate charge,1
C,quant.3.1,less,1
C,quant.3.1,less than 1pc,1
C,quant.3.1,Less than 1pC,1
C,quant.3.1,lower,1
C,quant.3.1,"Lower, assuming the charge may be a quarter of its original charge as a result",3
C,quant.3.1,no change,0
C,quant.3.1,smaller,1
C,quant.3.1,smaller than 0.5,1
C,quant.3.1,the charge does not change,0
C,quant.3.1,the charge would stay the same,0
C,quant.3.1,the smallest value of the other possibilities,1
C,quant.3.1,Value will be significantly smaller.,1
C,quant.3.1,Will be smaller,1

