	age	debug1	debug2	english.0-writing	english.1-reading	gender-Gender non conforming/non-binary	gender-Man	gender-Prefer not to answer	gender-Woman	original id	major	open1	open2	perceivedvalue.0-boring	perceivedvalue.1-productive	perceivedvalue.2-useless	perceivedvalue.3-engaging	pocc.0-learning the basic concepts	pocc.1-testing my ideas and theories	pocc.2-answering given questions	pocc.3-memorizing key information	pocc.4-exploring the topic	[qual1] Scenario 1	qual1	qual2	qual3	qual4	qual5	qual5reasoning	qual6	qual6reasoning	quant.0 - the width of the beaker is changed from 2cm to 1cm	quant.0 - the area is changed from 200mm2 to 100mm2	quant.1 - the concentration of wine is changed from 500 to 1000 mM	quant.1 - the separation is changed from 2mm to 4mm	quant.2 - the width of the beaker is changed from 2cm to 4cm and the concentration of wine is changed from 500 to 1000 mM	quant.2 - the area is changed from 200mm2 to 100mm2 and the plate separation is changed from 2mm to 1mm 	quant.3 - the width of the beaker is changed from 2cm to 1cm and the concentration of wine is changed from 500 to 1000 mM	quant.3 - the area is changed from 200mm2 to 100mm2 and the plate separation is changed from 2mm to 4mm 	strategies.0-setup my first experiment right away	strategies.10-try to identify mathematical relationships	strategies.11-try to apply my prior knowledge of physics	strategies.12-predict the result of a test before trying something out	strategies.13-decide what to investigate based on previous results	strategies.14-identify what I haven't investigated yet	strategies.1-spend time designing a set of experiments I want to conduct	strategies.2-make a plan	strategies.3-explore the different components of the PhET interface	strategies.4-identify important variables	strategies.5-look for weird outcomes I did not expect	strategies.6-look for general patterns and then dive into detailed experimentation	strategies.7-check if the relationships I found hold under different conditions	strategies.8-think about why I get the results I get	strategies.9-summarize my findings as I go	strategies_att.0-try to get the right answer	strategies_att.1-improve my scientific reasoning skill	strategies_att.2-try to learn more about the topic	strategies_att.3-finish as quickly as possible	strategies_att.4-come up with my own questions to investigate	taskinterpretation.0-investigate the basic mechanics of the topic at hand	taskinterpretation.1-design my own experiments that can help me understand the topic at hand	taskinterpretation.2-memorize information about the topic at hand	taskinterpretation.3-complete a certain number of  questions	taskinterpretation.4-develop scientific reasoning skills	year-1st year undergraduate	year-2nd year undergraduate	year-3rd year undergraduate	year-4th year undergraduate	sim	sim_index	sid
81	18-19	This seems correct as the constants will allow different variables and conditions to be applied when you change different situations such as the plate area, separation and voltage. The negative component of this formula is the separation as it can be related to understanding that the more distance there is to the plate, the less charge there is.	I do not think there should be a negative in the equation as the plate separation is squared and everything else is positive in regards to the units. The equation seems correct as the higher the separation, the lower the Q value will be as the square S will factor into the calculations.	Fluent	Fluent		1.0			19618321	*Undeclared	I learned physics by applying scientific hypothesis and dealing the lab step by step. I also investigated by testing out all the variables first to see how they interacted with the plate charge. 	I took it very slowly and took my time to understand how each variable and condition affects the charge. It allows me to relate one another and understand how to achieve the maximum charge capacity. What I would do differently next time would be making more graphs and seeing how I can change more than 2 variables at a time to see other results. 	Somewhat	Mostly	Not at all	Mostly	Almost always	Often	Often	Often	Often		larger plates (https://survey.ubc.ca/media/assets/user/27714/storage/bigPlates_10V.png)	higher voltage battery (https://survey.ubc.ca/media/assets/user/27714/storage/bigPlates_10V.png)	 (https://survey.ubc.ca/media/assets/user/23165/storage/equal2.png)	smaller separation (https://survey.ubc.ca/media/assets/user/27714/storage/bigPlates_10V.png)	 (https://survey.ubc.ca/media/assets/user/23165/storage/equal2.png)	Both voltage batteries work the same way as the positive and negative won't really affect the overall plate charge. It is an absolute charge so the charges go to the bulb in the process and returns back into the circuit just in different directions when its positive or negative.	two large plates perfectly aligned (https://survey.ubc.ca/media/assets/user/27714/storage/bigPlates_10V.png)	Having more plate area aligned with each other allows more surface area to connect and create large charge values. 		0.5		2		0.25		1	Definitely	Somewhat	Somewhat	Definitely	Mostly	Somewhat	Definitely	Mostly	Somewhat	Definitely	Definitely	Definitely	Definitely	Definitely	Mostly	Not at all	Mostly	Mostly	Not at all	Mostly	Mostly	Definitely	Mostly	Mostly	Mostly	1.0				Capacitance	2	19618321
86	20-22	The V and s are ok...? they are linear with respect to the Q so I'm assuming that is correct.  The A however isn't correct as it is an exponential relationship with respect to Q	Voltage is linear so that's good, plate area is exponential so that's not good, and plate separation is linear so that's not correct either, I think.	Fluent	Fluent		1.0			17576140	Chemistry	I did the same thing I did the first time, vary all of the variables to each range and observe the change in the measured parameter, in this case the plate charge.  The only thing that changed in my opinion was the task, not my methods.	I think that the approach of moving everything and then seeing how things vary is a good approach.  I feel like perhaps stopping for a bit and thinking ahead at the possible experiments I could have carried out could have helped me organize my thoughts better.  I found myself scrambling at the last minute to complete a graph.	Not at all	Definitely	Not at all	Mostly	Almost always	Often	Sometimes	Almost always	Almost always		larger plates (https://survey.ubc.ca/media/assets/user/27714/storage/bigPlates_10V.png)	higher voltage battery (https://survey.ubc.ca/media/assets/user/27714/storage/bigPlates_10V.png)	 (https://survey.ubc.ca/media/assets/user/23165/storage/equal2.png)	smaller separation (https://survey.ubc.ca/media/assets/user/27714/storage/bigPlates_10V.png)	 (https://survey.ubc.ca/media/assets/user/23165/storage/equal2.png)	It's the same because the question asks about the absolute plate charge which disregards the sign of the power supply	two large plates perfectly aligned (https://survey.ubc.ca/media/assets/user/27714/storage/bigPlates_10V.png)	the surface area is more effective when the plates are perfectly aligned, if the plates aren't aligned then it's like having smaller plates		0.25		0.5		08-Jan		0.5	Not at all	Definitely	Definitely	Not at all	Mostly	Definitely	Definitely	Somewhat	Definitely	Definitely	Definitely	Definitely	Definitely	Mostly	Mostly	Somewhat	Mostly	Definitely	Not at all	Definitely	Definitely	Definitely	Mostly	Somewhat	Mostly			1.0		Capacitance	2	17576140
87	18-19	Plate separation is not linear and voltage and area can be multiplied with each other. I didn't test multiple factors together to see the relationship.	Minus the square on the seperation, I think the formula is correct because everything increases linearly except charge increases 1/x	Average	Average				1.0	19436162	*Undeclared	It was much different and more challenging.  I think this lab was much more interesting and had more options so I wanted to play more on the capacitor virtual lab. 	Next time I would measure different variables at once to see how they affect the charge. 	Not at all	Mostly	Not at all	Mostly	Almost always	Often	Often	Sometimes	Often		larger plates (https://survey.ubc.ca/media/assets/user/27714/storage/bigPlates_10V.png)	higher voltage battery (https://survey.ubc.ca/media/assets/user/27714/storage/bigPlates_10V.png)	 (https://survey.ubc.ca/media/assets/user/23165/storage/equal2.png)	smaller separation (https://survey.ubc.ca/media/assets/user/27714/storage/bigPlates_10V.png)	 (https://survey.ubc.ca/media/assets/user/23165/storage/equal2.png)	Only the sign of the charge changes because it flows the opposite direction\n	two large plates perfectly aligned (https://survey.ubc.ca/media/assets/user/27714/storage/bigPlates_10V.png)	the 2 plates are closer in contact with one another		0.5pC		0.25pC		1pC		(0.5x0.25)pC	Somewhat	Somewhat	Mostly	Somewhat	Mostly	Definitely	Definitely	Definitely	Definitely	Mostly	Definitely	Definitely	Definitely	Mostly	Mostly	Mostly	Mostly	Definitely	Somewhat	Mostly	Definitely	Definitely	Somewhat	Definitely	Mostly	1.0				Capacitance	2	19436162
91	17 and under	There should be absolute value signs around battery voltage, as a negative charge that is the same magnitude as a positive charge will result in the same charge. The other portions of the formula are correct, since charge shares a positive relationship with plate area, and charge shares a negative relationship with place separation. 	This formula is correct, because with the variable of plate separation in the denominator, a larger plate separation will result in a smaller charge, while a smaller plate separation will result in a larger charge. Area is correctly placed in the numerator, because area has a positive correlation with charge. There is also a correct negative sign in front of voltage, because when voltage is positive, there are electrons in the plate, and there are protons when the voltage is negative.	Fluent	Fluent				1.0	16328144	*Non science or applied science major	I looked at what could be changed and tried changing each thing to see whether it had a positive or negative effect. The second lab was different because it was more quantitative and there were less things that could be changed. 	Changing each thing individually and then combining things together worked well. Next time, I would try to understand certain parts better by creating more graphs.	Somewhat	Somewhat	Definitely	Mostly	Often	Sometimes	Sometimes	Almost never	Almost always		larger plates (https://survey.ubc.ca/media/assets/user/27714/storage/bigPlates_10V.png)	higher voltage battery (https://survey.ubc.ca/media/assets/user/27714/storage/bigPlates_10V.png)	 (https://survey.ubc.ca/media/assets/user/23165/storage/equal2.png)	smaller separation (https://survey.ubc.ca/media/assets/user/27714/storage/bigPlates_10V.png)	 (https://survey.ubc.ca/media/assets/user/23165/storage/equal2.png)	Whether the battery is positive or negative does not matter. When the battery goes from positive to negative, the direction of the flow of charge in the circuit changes but the charges on the plates remain the same. 	two large plates perfectly aligned (https://survey.ubc.ca/media/assets/user/27714/storage/bigPlates_10V.png)	When the two plates are not directly on top of each other, some charge is likely to get lost into the air, and there will end up being less charge in the circuit.		0.66		0.6		1.6		0.85	Somewhat	Definitely	Somewhat	Not at all	Mostly	Mostly	Somewhat	Somewhat	Somewhat	Somewhat	Not at all	Somewhat	Mostly	Not at all	Definitely	Somewhat	Somewhat	Mostly	Not at all	Mostly	Definitely	Definitely	Not at all	Mostly	Somewhat	1.0				Capacitance	2	16328144
94	17 and under	all are right	Seems right, although i dont understand why the V is negative and why the plate separation is squared	Fluent	Fluent		1.0			15884161	Zoology	There wasn't that much learning. I had already learnt this in high school	Maybe making it more interactive. kind if boring, not much to do	Definitely	Somewhat	Mostly	Not at all	Almost always	Almost always	Almost always	Almost always	Almost always		larger plates (https://survey.ubc.ca/media/assets/user/27714/storage/bigPlates_10V.png)	higher voltage battery (https://survey.ubc.ca/media/assets/user/27714/storage/bigPlates_10V.png)	larger plates (https://survey.ubc.ca/media/assets/user/27714/storage/bigPlates_0V.png)	smaller separation (https://survey.ubc.ca/media/assets/user/27714/storage/bigPlates_10V.png)	 (https://survey.ubc.ca/media/assets/user/23165/storage/equal2.png)	There is no difference	two large plates perfectly aligned (https://survey.ubc.ca/media/assets/user/27714/storage/bigPlates_10V.png)	There is more space for voltage change top be		smaller		smaller		smaller		no change	Not at all	Not at all	Mostly	Somewhat	Somewhat	Not at all	Not at all	Somewhat	Somewhat	Mostly	Somewhat	Not at all	Somewhat	Not at all	Not at all	Definitely	Not at all	Somewhat	Mostly	Somewhat	Not at all	Somewhat	Not at all	Definitely	Not at all	1.0				Capacitance	2	15884161
101	18-19	all is correct . the charge increases with larger plate area and decreases with bigger plate separation .	all is correct because diving by larger plate separation will decrease the charge and multiplying by larger area will increase the charge	Fluent	Fluent				1.0	13660166	*Undeclared	i tried out the different factors affecting the voltage. i couldn't find a mathematical relationship between the factors and the charge for this lab 	testing out different values of the factors 	Mostly	Somewhat	Somewhat	Somewhat	Often	Often	Often	Often	Often		larger plates (https://survey.ubc.ca/media/assets/user/27714/storage/bigPlates_10V.png)	higher voltage battery (https://survey.ubc.ca/media/assets/user/27714/storage/bigPlates_10V.png)	 (https://survey.ubc.ca/media/assets/user/23165/storage/equal2.png)	smaller separation (https://survey.ubc.ca/media/assets/user/27714/storage/bigPlates_10V.png)	 (https://survey.ubc.ca/media/assets/user/23165/storage/equal2.png)	the numerical values are the same its just the positive/negative sign that differs 	two large plates perfectly aligned (https://survey.ubc.ca/media/assets/user/27714/storage/bigPlates_10V.png)	there would be more areas of positive and negative charges attracting each other so greater force		less than 1pC		less than 1pC		around the same		the smallest value of the other possibilities	Mostly	Somewhat	Mostly	Somewhat	Somewhat	Not at all	Somewhat	Somewhat	Mostly	Somewhat	Somewhat	Mostly	Mostly	Somewhat	Somewhat	Mostly	Somewhat	Not at all	Mostly	Not at all	Mostly	Mostly	Not at all	Mostly	Somewhat	1.0				Capacitance	2	13660166
102	20-22	The formula is correct.	The formula is correct since charge decreases exponentially when separation decreases linearly and charge decreases linearly when area decreases linearly. 	Fluent	Fluent		1.0			19053161	*Undeclared	I graphed the PC while changing one variable at a time and keeping the other variables constant. This virtual lab was different in the way that I did not have any prior knowledge about the topic before engaging in the second virtual lab whereas I had prior knowledge about the content in the first virtual lab. 	Graphing the PC while changing the variables worked well as it helped me analyze a trend in the data which in turn shows the relationship between the variable being analyzed and the PC. I would not change the way I went about the virtual lab. 	Somewhat	Somewhat	Mostly	Mostly	Often	Sometimes	Sometimes	Sometimes	Often		larger plates (https://survey.ubc.ca/media/assets/user/27714/storage/bigPlates_10V.png)	higher voltage battery (https://survey.ubc.ca/media/assets/user/27714/storage/bigPlates_10V.png)	 (https://survey.ubc.ca/media/assets/user/23165/storage/equal2.png)	smaller separation (https://survey.ubc.ca/media/assets/user/27714/storage/bigPlates_10V.png)	 (https://survey.ubc.ca/media/assets/user/23165/storage/equal2.png)	The value of the charge would be the same. The only difference would be the sign of the charge, however, since the absolute charge is being measured, sign does not play a part. 	two large plates perfectly aligned (https://survey.ubc.ca/media/assets/user/27714/storage/bigPlates_10V.png)	The plates that are offset will result in some of the charge dissipating into the air. This would not occur in the plates that are perfectly aligned. 		0.5		0.25		0.5		0.125	Somewhat	Mostly	Somewhat	Not at all	Somewhat	Somewhat	Mostly	Somewhat	Definitely	Mostly	Somewhat	Mostly	Mostly	Mostly	Mostly	Somewhat	Mostly	Mostly	Not at all	Somewhat	Mostly	Somewhat	Somewhat	Mostly	Mostly	1.0				Capacitance	2	19053161
104	18-19	All seem correct as the experiments I performed indicated that all of these variables are factors that affect the charge on the plate of a capacitor	All of these variables have a direct effect and a linear one, so it is unlikely that the squaring of the separation distance is correct. 	Fluent	Fluent				1.0	19913165	*Non science or applied science major	I had a better idea of what questions I was trying to answer, so I was more precise in my experiments. I went more in depth this time and tried more experiments to test my predictions and find if they held true when many factors were manipulated at once. 	This time I was able to answer the questions more readily than the first. Next time, I would go more in depth to investigate the questions I had at the end of the experiment.	Somewhat	Definitely	Somewhat	Mostly	Often	Often	Sometimes	Sometimes	Often		larger plates (https://survey.ubc.ca/media/assets/user/27714/storage/bigPlates_10V.png)	higher voltage battery (https://survey.ubc.ca/media/assets/user/27714/storage/bigPlates_10V.png)	larger plates (https://survey.ubc.ca/media/assets/user/27714/storage/bigPlates_0V.png)	smaller separation (https://survey.ubc.ca/media/assets/user/27714/storage/bigPlates_10V.png)	negative voltage battery (https://survey.ubc.ca/media/assets/user/27714/storage/bigPlates_neg10V.png)	In some of my experiments, I compared positive vs negative battery voltage while holding other factors constant and found that the negative voltage gave higher charge than positive. 	two large plates offset from one another (https://survey.ubc.ca/media/assets/user/27714/storage/bigPlates_offset_10V.png)	A rough estimate based on previous knowledge.		0.5		0.5		1		0.25	Mostly	Mostly	Somewhat	Definitely	Definitely	Somewhat	Somewhat	Mostly	Mostly	Definitely	Mostly	Definitely	Definitely	Definitely	Definitely	Somewhat	Mostly	Mostly	Somewhat	Mostly	Definitely	Definitely	Not at all	Mostly	Definitely	1.0				Capacitance	2	19913165
2		Everything is correct because as you increase wavelength (blue to red) the absorbance increases and as you increase the concentration and the laser path length the absorbance also increases.	The N part is correct because the more molecules there are in solution means the concentration is higher, and since absorbance increases as concentration gets bigger it is correct. The term k is correct because it is unique to different solutions and determines how much absorbance there is. The V part is incorrect and the formula should be A = kn/V because as you increase volume, concentration goes down and so absorbance would go down.							77047160			Graphing definitely helped visualize the theory and prove results. It would help if you could save multiple graphs at the same time so that you don't constantly have to click and unclick the data points.	Somewhat	Mostly	Not at all	Mostly	Often	Often	Often	Almost always	Often	high concentration (https://survey.ubc.ca/media/assets/user/23165/storage/absorbance%20empty%20laser/setup_wide_dark_green.png)		high concentration, low volume (https://survey.ubc.ca/media/assets/user/23165/storage/absorbance%20empty%20laser/setup_wide_dark_green_low%20(1).png)	big beaker (https://survey.ubc.ca/media/assets/user/23165/storage/absorbance%20empty%20laser/setup_wide_light_green.png)	 (https://survey.ubc.ca/media/assets/groups/5494/equal%20(1).png)	angled laser beam (https://survey.ubc.ca/media/assets/user/23165/storage/setup_narrow_light_green_crooked2.png)	With the diagonal laser, the light travels through more width because it is angled, meaning the absorbance that comes out with be higher.	red laser beam (https://survey.ubc.ca/media/assets/user/23165/storage/absorbance%20empty%20laser/setup_narrow_dark_red.png)	A red laser has a longer wavelength and should have higher absorbance because it has less energy.	0.1		0.4		0.8		0.2		Mostly	Somewhat	Definitely	Mostly	Mostly	Definitely	Somewhat	Somewhat	Mostly	Mostly	Definitely	Mostly	Mostly	Definitely	Mostly	Mostly	Mostly	Mostly	Somewhat	Somewhat	Somewhat	Not at all	Not at all	Mostly	Mostly					Absorbance	1	77047160
3		L is in incorrect because it does not have any effect on light absorption if we reduce or increase the length of the beaker	the k is wrong because it make it a useless formula because we can only use it for the exact wavelength of 532 not other wavelengths							64006159			i would put numbers below the wavelength, because i didn't remember which color has the highest and lowest wavelength 	Not at all	Mostly	Not at all	Mostly	Often	Often	Often	Often	Often	low concentration (https://survey.ubc.ca/media/assets/user/23165/storage/absorbance%20empty%20laser/setup_wide_light_green.png)		low concentration, high volume (https://survey.ubc.ca/media/assets/user/23165/storage/absorbance%20empty%20laser/setup_wide_light_green_high.png)	small beaker (https://survey.ubc.ca/media/assets/user/23165/storage/absorbance%20empty%20laser/setup_narrow_light_green.png)	 (https://survey.ubc.ca/media/assets/groups/5494/Notenoughinfo.png)	 (https://survey.ubc.ca/media/assets/groups/5494/Notenoughinfo.png)	the angle of light was not mentioned in the virtual lab	blue laser beam (https://survey.ubc.ca/media/assets/user/23165/storage/setup_narrow_dark_blue.png)	dont remember exactly which light color has the higher wavelength but i remember the higher the wavelength was the higher the absorbtion	highrer than 0.2		lower than 0.2		lower than 0.2		lower than 0.2		Mostly	Not at all	Somewhat	Somewhat	Somewhat	Somewhat	Mostly	Mostly	Mostly	Mostly	Somewhat	Somewhat	Somewhat	Mostly	Mostly	Somewhat	Somewhat	Somewhat	Not at all	Somewhat	Mostly	Not at all	Somewhat	Not at all	Mostly					Absorbance	1	64006159
4		I think the relationship between the wavelength and absorbance value is not as linear as this formula suggests	I don't think the volume of the solution has an effect on the absorbance. Only the width of the beaker would make a difference in the measurements. 							27451164			I think recording data was useful. However, the time I spent in the beginning trying to find initial trends is not very valuable, it might be more useful to jump straight into the controlled experiments.  	Not at all	Mostly	Not at all	Definitely	Almost always	Often	Often	Sometimes	Almost always	high concentration (https://survey.ubc.ca/media/assets/user/23165/storage/absorbance%20empty%20laser/setup_wide_dark_green.png)		high concentration, low volume (https://survey.ubc.ca/media/assets/user/23165/storage/absorbance%20empty%20laser/setup_wide_dark_green_low%20(1).png)	big beaker (https://survey.ubc.ca/media/assets/user/23165/storage/absorbance%20empty%20laser/setup_wide_light_green.png)	 (https://survey.ubc.ca/media/assets/groups/5494/equal%20(1).png)	 (https://survey.ubc.ca/media/assets/groups/5494/equal%20(1).png)	I don't think the initial angle would have an effect on the absorbance measured. 	red laser beam (https://survey.ubc.ca/media/assets/user/23165/storage/absorbance%20empty%20laser/setup_narrow_dark_red.png)	From what I saw, red light always produced the highest absorbance. 	0.1		0.4		0.8		0.3		Definitely	Mostly	Mostly	Somewhat	Somewhat	Somewhat	Not at all	Not at all	Definitely	Definitely	Somewhat	Mostly	Mostly	Mostly	Definitely	Mostly	Mostly	Definitely	Not at all	Mostly	Definitely	Definitely	Not at all	Definitely	Somewhat					Absorbance	1	27451164
5		L is not necessary, as the laser path length makes no difference to the absorbance A.\n? is wrong, because A is not linearly proportional to ?. They should instead have an exponential relationship (with something to the power of ?).\nc is correct, as the concentration is indeed linearly proportional to A. However, there should have been a multiplication to the volume involved within the laser rays as well.	k is correct, as it is believable that there is a specific constant for each possible ?.\nN is correct, as it shows how many particles will be absorbing the laser rays.\nV is wrong, as it is no longer necessary to multiply the concentration to the volume due to the existence of N.							90447168			I think the data gathering and the graphing process went well. I would do everything faster next time, considering the limited time.	Not at all	Mostly	Not at all	Mostly	Often	Often	Almost always	Almost always	Often	high concentration (https://survey.ubc.ca/media/assets/user/23165/storage/absorbance%20empty%20laser/setup_wide_dark_green.png)		high concentration, low volume (https://survey.ubc.ca/media/assets/user/23165/storage/absorbance%20empty%20laser/setup_wide_dark_green_low%20(1).png)	big beaker (https://survey.ubc.ca/media/assets/user/23165/storage/absorbance%20empty%20laser/setup_wide_light_green.png)	 (https://survey.ubc.ca/media/assets/groups/5494/equal%20(1).png)	horizontal laser beam (https://survey.ubc.ca/media/assets/user/23165/storage/absorbance%20empty%20laser/setup_narrow_light_green.png)	When angled, there will be some reflected rays, which will result in a decrease of transmitted rays, whereas a horizontal beam (parallel to the normal) will have no reflected rays. Hence, the horizontal laser beam will have the highest absorbance.	red laser beam (https://survey.ubc.ca/media/assets/user/23165/storage/absorbance%20empty%20laser/setup_narrow_dark_red.png)	The solution (CuSO4 in the PHET virtual experiment) only absorbs rays with particular wavelengths. In this case, it was the red laser beam, likely due to it having the right amount of energy to excite the ground electrons to the next energy level.	0.1		0.3		0.5		0.2		Mostly	Definitely	Mostly	Somewhat	Somewhat	Definitely	Not at all	Mostly	Mostly	Definitely	Definitely	Mostly	Mostly	Definitely	Mostly	Somewhat	Somewhat	Definitely	Not at all	Mostly	Definitely	Somewhat	Not at all	Definitely	Mostly					Absorbance	1	90447168
6		I'd say they are all correct based on the graphs I obtained during the virtual lab. c and L seemed to be directly proportional to A. I don't know the exact relationship of A with lamda but it could be directly proportional. I would have to plot a graph to find out for sure. However, lamda could not be assigned to either axis on the graph so I couldn't really investigate this. \nHowever my graphs didn't seem like they would pass through the origin so maybe the formula is missing some sort of constant or maybe it is because of experiment error	I dont think that A is proportional to V. A is probably proportional to the thicknesss of the beaker or the volume of solution the laser must pass through but A wont be proportional to the volume of solution in the beaker as a really thin tall beaker would have low absorbance but a lot of volume of solution.\nA seems like it is proportional to N as when the concentration increases, the laser would pass through more molecules in its path. When concentration was increased, Absorbance also increased linearly.\n							46792161			Next time I would have varied two variables while keeping everything else the same and measuring the effect of this on absorbance.\nFor example, I wouldve seen if thickness is proportional to absorbance at different wavelengths of light.	Mostly	Somewhat	Somewhat	Somewhat	Often	Often	Often	Sometimes	Almost always	high concentration (https://survey.ubc.ca/media/assets/user/23165/storage/absorbance%20empty%20laser/setup_wide_dark_green.png)		high concentration, low volume (https://survey.ubc.ca/media/assets/user/23165/storage/absorbance%20empty%20laser/setup_wide_dark_green_low%20(1).png)	big beaker (https://survey.ubc.ca/media/assets/user/23165/storage/absorbance%20empty%20laser/setup_wide_light_green.png)	 (https://survey.ubc.ca/media/assets/groups/5494/equal%20(1).png)	angled laser beam (https://survey.ubc.ca/media/assets/user/23165/storage/setup_narrow_light_green_crooked2.png)	laser light travels a greater distance in solution when angled	red laser beam (https://survey.ubc.ca/media/assets/user/23165/storage/absorbance%20empty%20laser/setup_narrow_dark_red.png)	As learnt from the virtual lab, red light results in more absorbance than blue light	0.1		0.4		0.8		0.2		Definitely	Definitely	Definitely	Definitely	Somewhat	Definitely	Somewhat	Somewhat	Definitely	Definitely	Somewhat	Somewhat	Not at all	Definitely	Definitely	Mostly	Somewhat	Mostly	Not at all	Somewhat	Definitely	Definitely	Not at all	Definitely	Definitely					Absorbance	1	46792161
7		From the formula above, A is directly proportional to c. This is correct. Higher concentration would mean more particles per unit volume, more light is absorbed giving higher absorbance.\nFrom my experimentation, wavelength of light affects the absorbance in a unique way. We have to first know the color of the solution as different colors of solution absorbs different amount of same-colored light. For example, red solution absorbs red light the most as compared to other colored solution. Wavelength of light should not be placed in the formula since it should be considered on a case-to-case basis. \nFor L, absorbance is not affected significantly if light is shined horizontally. The factor that affects the absorbance is the angle of light being shined onto the beaker. We should include angle in the formula instead of the path length L.	Having a constant for different solution is correct. \nA increases proportionally to N is correct, more particles mean more absorbance.\nHigher volume also gives higher number of molecules given same concentration, so higher absorbance. This is correct as well.							24511163			I have only used virtual labs on the subject that I have already known before hand, so they appears quite boring to me since I'm able to expect all of the outcomes. \nI should try virtual labs on things that I am not familiar with. 	Not at all	Definitely	Not at all	Definitely	Almost always	Almost always	Often	Sometimes	Often	high concentration (https://survey.ubc.ca/media/assets/user/23165/storage/absorbance%20empty%20laser/setup_wide_dark_green.png)		 (https://survey.ubc.ca/media/assets/groups/5494/Notenoughinfo.png)	big beaker (https://survey.ubc.ca/media/assets/user/23165/storage/absorbance%20empty%20laser/setup_wide_light_green.png)	 (https://survey.ubc.ca/media/assets/groups/5494/equal%20(1).png)	horizontal laser beam (https://survey.ubc.ca/media/assets/user/23165/storage/absorbance%20empty%20laser/setup_narrow_light_green.png)	Shinning horizontally reduces the amount of possible reflection of light at the wall of beaker, hence more light passes through the solution and reaches the detector.	red laser beam (https://survey.ubc.ca/media/assets/user/23165/storage/absorbance%20empty%20laser/setup_narrow_dark_red.png)	The red colored solution absorbs greatest amount of red light, resulting in higher absorbance.	0.1		0.4		0.8		0.2		Somewhat	Mostly	Definitely	Definitely	Definitely	Definitely	Definitely	Definitely	Definitely	Definitely	Definitely	Definitely	Somewhat	Definitely	Definitely	Mostly	Mostly	Definitely	Somewhat	Mostly	Definitely	Definitely	Not at all	Definitely	Mostly					Absorbance	1	24511163
8		The laser wavelength affects the absorption relative to the spectrum of the solution, and has nothing to do with it's absolute value.\nAssuming absorbance is a unitless value, the units in the formula don't cancel out.\n\n 	V should be the path length of the laser, not the volume of the beaker							31607164			Using intuition to identify trends. Not discard data.	Mostly	Mostly	Somewhat	Somewhat	Often	Often	Often	Sometimes	Often	high concentration (https://survey.ubc.ca/media/assets/user/23165/storage/absorbance%20empty%20laser/setup_wide_dark_green.png)		high concentration, low volume (https://survey.ubc.ca/media/assets/user/23165/storage/absorbance%20empty%20laser/setup_wide_dark_green_low%20(1).png)	big beaker (https://survey.ubc.ca/media/assets/user/23165/storage/absorbance%20empty%20laser/setup_wide_light_green.png)	 (https://survey.ubc.ca/media/assets/groups/5494/equal%20(1).png)	angled laser beam (https://survey.ubc.ca/media/assets/user/23165/storage/setup_narrow_light_green_crooked2.png)	The effective path taken by the laser is greater when you tilt the beaker	blue laser beam (https://survey.ubc.ca/media/assets/user/23165/storage/setup_narrow_dark_blue.png)	Absorbance tended to be at a minimum when the wavelength of the light closely matched the natural color of the chemical	0.4		0.1		0.1		0.8		Mostly	Mostly	Mostly	Mostly	Mostly	Definitely	Somewhat	Not at all	Somewhat	Mostly	Somewhat	Mostly	Definitely	Definitely	Mostly	Somewhat	Mostly	Somewhat	Somewhat	Somewhat	Mostly	Definitely	Not at all	Somewhat	Mostly					Absorbance	1	36107164
9		concentration times L seems to be correct because when they are both increased individually the absorbance increases, however the wavelength had an exponential looking graph ao it does not seem right that it would be multiplied by these values. Where the wavelength equals zero when the c and L are held constant, the wavelngth still has a value so i belive wavelength should be on the bottom of the right had side of the equation.	this equation seems to be accurate because K can never be zero and the absorbance does increase with an increase in the volume and molarity of the solution.							59043165			being able to play around with the differnet variable so easily and not having to do everything by hand (ie change molarity adn get different beakers ect) was very nice. more specific instrucitons on what to look for while conducting the experiment would have been nice as I wasnt sure how to answer some of the post activity questions.	Somewhat	Mostly	Not at all	Mostly	Often	Sometimes	Often	Sometimes	Often	high concentration (https://survey.ubc.ca/media/assets/user/23165/storage/absorbance%20empty%20laser/setup_wide_dark_green.png)		high concentration, low volume (https://survey.ubc.ca/media/assets/user/23165/storage/absorbance%20empty%20laser/setup_wide_dark_green_low%20(1).png)	big beaker (https://survey.ubc.ca/media/assets/user/23165/storage/absorbance%20empty%20laser/setup_wide_light_green.png)	 (https://survey.ubc.ca/media/assets/groups/5494/Notenoughinfo.png)	horizontal laser beam (https://survey.ubc.ca/media/assets/user/23165/storage/absorbance%20empty%20laser/setup_narrow_light_green.png)	shortest distance to a the dectector gives a larger value of absorbance 	red laser beam (https://survey.ubc.ca/media/assets/user/23165/storage/absorbance%20empty%20laser/setup_narrow_dark_red.png)	red wavelengths gave higher values of absorbance whereas the blue beam gave low value if any values at all	decrease		increase		increase x4		increase x2		Mostly	Not at all	Somewhat	Somewhat	Mostly	Somewhat	Somewhat	Not at all	Mostly	Mostly	Somewhat	Mostly	Somewhat	Somewhat	Mostly	Somewhat	Somewhat	Mostly	Not at all	Somewhat	Somewhat	Mostly	Not at all	Not at all	Definitely					Absorbance	1	59043165
